"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type","cannonical","ubiquitous_index","specificity"
"1",2.7166477050027e-118,1.43468152266659,0.675,0.148,7.1518467481901e-114,"0","LOXL4","Alpha cells",1,0,0
"2",4.67310561399839e-153,1.26865317519921,0.945,0.316,1.23024178394122e-148,"0","CRYBA2","Alpha cells",1,0.009,0.0113888
"3",1.43251732522983e-87,1.21954961626436,0.739,0.276,3.77124511040005e-83,"0","AGT","Adipocytes",1,0.02,0.0160126
"4",5.2580639168032e-153,1.21477843013196,0.996,0.516,1.38423790673761e-148,"0","TM4SF4","Alpha cells",1,0.017,0.0132869
"5",9.89726171088493e-122,1.14389368188969,0.98,0.539,2.60555311800757e-117,"0","VGF","Interneurons",NA,0.021,0.0125313
"6",5.48370347743712e-131,1.12288883791316,1,0.922,1.4436397774701e-126,"0","TTR","Alpha cells",1,0.055,0.065802
"7",7.85951796034969e-87,1.11046112825655,0.641,0.173,2.06909669824166e-82,"0","AC092155.1","Adipocytes",1,0.02,0.0160126
"8",2.59967622607755e-150,1.08393886600887,0.993,0.543,6.84390763277176e-146,"0","TMEM176B","Alpha cells",1,0.017,0.0132869
"9",7.74259196126736e-141,1.06821171333686,0.976,0.503,2.03831475972325e-136,"0","TMEM176A","Alpha cells",1,0.009,0.00664347
"10",1.26855920459905e-143,1.05700429600283,0.904,0.248,3.33960896202747e-139,"0","GC","Alpha cells",1,0.009,0.00664347
"11",4.66723348286944e-115,1.0364650875286,1,0.976,1.22869588670021e-110,"0","GCG","Alpha cells",1,0.024,0.0439734
"12",4.57215993826872e-60,0.961803809087126,0.619,0.25,1.20366682534862e-55,"0","ZNF331","Alpha cells",1,0.057,0.0287884
"13",5.85651594743202e-85,0.928575399848874,0.782,0.344,1.54178638832095e-80,"0","PLCE1","Alpha cells",1,0.005,0.00822525
"14",9.24588463563538e-86,0.922100601040486,0.98,0.681,2.43407158917737e-81,"0","CFC1","Adipocytes",1,0.02,0.0160126
"15",7.17405031968576e-123,0.917916314347961,0.996,0.684,1.88864048716047e-118,"0","PCSK2","Alpha cells",1,0.032,0.0167668
"16",2.99996080414306e-129,0.916823734607571,0.804,0.187,7.89769681298701e-125,"0","IRX2","Alpha cells",1,0.012,0.00537805
"17",1.20316944883151e-133,0.910343516736729,0.998,0.818,3.16746389099382e-129,"0","CD99","Merkel cells",NA,0.007,0.00156642
"18",2.63771696006491e-105,0.906144499748489,0.802,0.275,6.94405366906688e-101,"0","SMIM24","Alpha cells",1,0.037,0.0281556
"19",2.41902910369353e-77,0.890394964000536,0.946,0.677,6.36833601838358e-73,"0","SERPINA1","Dendritic cells",1,0.016,0.0676519
"20",1.87109565297395e-110,0.876635499714004,0.943,0.486,4.92584641601923e-106,"0","SLC7A2","Alpha cells",1,0.024,0.0439734
"21",5.87552472668593e-163,3.36614349553611,0.997,0.82,1.54679063954734e-158,"1","IAPP","Beta cells",1,0.023,0.0353312
"22",1.31199862863894e-174,3.34396059202552,1,0.962,3.45396758975488e-170,"1","INS","Beta cells",1,0.009,0.0470032
"23",3.11355180034075e-167,2.28041677390793,0.757,0.108,8.19673646957705e-163,"1","DLK1","Beta cells",1,0.055,0.0416404
"24",2.84277589398533e-249,2.18385332579594,0.833,0.05,7.48389181850579e-245,"1","MAFA","Beta cells",1,0.002,0.000315457
"25",1.28901786452577e-186,1.74788556837188,0.936,0.213,3.39346843015055e-182,"1","HADH","Beta cells",1,0.003,0.000946372
"26",4.44923464200759e-50,1.67537737235095,0.821,0.517,1.17130551185492e-45,"1","CDKN1C","Endothelial cells",1,0.097,0.0485751
"27",2.00107783978552e-139,1.65088713335186,0.939,0.357,5.26803752101937e-135,"1","C1QL1","Oligodendrocyte progenitor cells",1,0.013,0.00627944
"28",1.58870830326402e-216,1.53067956005413,0.717,0.032,4.18243347917285e-212,"1","ADCYAP1","Beta cells",1,0.003,0.000946372
"29",9.15424553955652e-116,1.50006562005351,0.924,0.532,2.40994668074365e-111,"1","ABCC8","Glomus cells",1,0.008,0.0150376
"30",5.49532390120641e-93,1.46653953716784,0.672,0.186,1.4466989702316e-88,"1","TSPAN1","Principal cells",1,0.028,0.0654762
"31",5.60520871624883e-158,1.38389578322497,0.733,0.096,1.47562724663967e-153,"1","PDX1","Beta cells",1,0.005,0.00126183
"32",9.01369401895002e-151,1.35534901568211,0.824,0.139,2.37294508742878e-146,"1","PCSK1","Alpha cells",NA,0.008,0.00885796
"33",1.45573440432551e-136,1.34625661734195,0.787,0.179,3.83236639282734e-132,"1","NKX6-1","Alpha cells",1,0.006,0.0101234
"34",9.33288165062313e-116,1.27047391484461,0.839,0.264,2.45697442334304e-111,"1","GSN","Glomus cells",1,0.008,0.0150376
"35",8.76395172684051e-151,1.26305708438191,0.778,0.116,2.30719793160803e-146,"1","SAMD11","Beta cells",1,0.005,0.00126183
"36",2.2304341223262e-81,1.14907288373291,0.83,0.381,5.87184087043596e-77,"1","GAD2","GABAergic neurons",1,0.073,0.0244361
"37",5.47839485162307e-139,1.13121573982192,0.581,0.049,1.44224222863829e-134,"1","AC132217.2","Oligodendrocyte progenitor cells",1,0.013,0.00627944
"38",1.4163971000679e-78,1.01784036867086,0.921,0.686,3.72880700563876e-74,"1","SURF4","Beta cells",1,0.005,0.00189274
"39",4.35084995521682e-124,1.01140796429368,0.65,0.096,1.14540475921038e-119,"1","SYT13","Beta cells",1,0.029,0.00283912
"40",1.22288762221122e-107,0.997009812305667,0.413,0.023,3.21937395423325e-103,"1","RGS16","Beta cells",1,0.01,0.0195584
"41",4.96255929922639e-85,1.25819243967379,1,0.981,1.30644336111434e-80,"2","GCG","Alpha cells",1,0.024,0.0439734
"42",2.28020860651997e-83,1.0263774966448,1,0.936,6.00287717752449e-79,"2","TTR","Alpha cells",1,0.055,0.065802
"43",2.01790573297391e-30,0.767538275130117,0.598,0.264,5.31233863262713e-26,"2","AC092155.1","Alpha cells",1,0.009,0.0113888
"44",1.5751353790692e-54,0.764688878400551,0.981,0.743,4.14670139893758e-50,"2","PCSK2","Alpha cells",1,0.032,0.0167668
"45",3.49532603159328e-106,2.51425810076214,0.678,0.088,9.20179531077247e-102,"3","SPP1","Cholangiocytes",1,0.057,0.0535772
"46",2.00204449351966e-188,2.22605300261432,0.924,0.085,5.27058233363986e-184,"3","TACSTD2","Cholangiocytes",1,0.033,0.0923965
"47",3.07705409474192e-130,2.22124090157651,0.906,0.16,8.10065260981758e-126,"3","PMEPA1","Pinealocytes",1,0.048,0.0250627
"48",5.57923617053245e-157,2.15897405088918,0.684,0.044,1.46878971425437e-152,"3","MMP7","Cholangiocytes",1,0.007,0.0208534
"49",3.38091196986144e-139,2.08313042965304,0.836,0.11,8.90058885185722e-135,"3","SERPING1","Ductal cells",1,0.066,0.0972442
"50",4.49026998438221e-45,2.07823312400504,0.287,0.032,1.18210847608846e-40,"3","H19","Undefined placental cells",NA,0.061,0.0294856
"51",2.29249126025933e-153,1.99595686991434,0.819,0.083,6.03521249175871e-149,"3","KRT7","Cholangiocytes",1,0.056,0.0959256
"52",1.95451778836508e-180,1.9914388078717,0.807,0.062,5.14546352964992e-176,"3","TINAGL1","Airway epithelial cells",1,0.037,0.0178571
"53",8.75085173332092e-184,1.9207536585591,0.719,0.036,2.30374922731407e-179,"3","SERPINA5","Ductal cells",1,0.005,0.0237567
"54",6.03741508169854e-85,1.90129101102441,0.801,0.22,1.58940989440796e-80,"3","ANXA4","Ductal cells",1,0.06,0.0706367
"55",1.08215867571928e-72,1.88317260915088,0.848,0.264,2.84889092969858e-68,"3","GDF15","Acinar cells",1,0.014,0.054088
"56",1.85633725610222e-194,1.76965263350589,0.702,0.027,4.8869934604147e-190,"3","CFTR","Cholangiocytes",1,0.003,0.00384986
"57",1.67615119629264e-87,1.69035263071801,0.877,0.246,4.41263563935999e-83,"3","SOX4","Ductal cells",1,0.037,0.0614507
"58",2.66575667404983e-98,1.61383362552834,0.807,0.147,7.01787102010357e-94,"3","SERPINA3","Acinar cells",1,0,0.000314465
"59",3.6704823735288e-98,1.59855031662836,0.632,0.078,9.66291189655191e-94,"3","CCN1","Acinar cells",1,0,0.000314465
"60",4.54367845855048e-116,1.59229207381239,0.86,0.162,1.196168790998e-111,"3","SERINC2","Cholangiocytes",1,0.032,0.0247032
"61",4.47639716328535e-88,1.57201685726277,0.567,0.067,1.1784563172065e-83,"3","CCL2","Ductal cells",1,0.037,0.0614507
"62",9.82282245984293e-72,1.53184686314531,0.263,0.009,2.58595624077825e-67,"3","CRP","Hepatocytes",1,0.002,0.00126783
"63",7.88319492882322e-74,1.52524368984741,0.988,0.635,2.075329896962e-69,"3","TMSB10","Endothelial cells (aorta)",NA,0.02,0.0137845
"64",3.19536645917712e-110,1.51734397880265,0.608,0.058,8.41212174042968e-106,"3","PIGR","Airway goblet cells",NA,0.031,0.0441729
"65",4.25752077245546e-81,3.40133160499814,0.993,0.971,1.12083491855662e-76,"4","SST","Delta cells",1,0.027,0.0452261
"66",1.43858997207703e-156,2.71710650322785,0.92,0.116,3.78723196048998e-152,"4","RBP4","Delta cells",1,0.032,0.03549
"67",1.53277255413266e-61,1.43872405060318,0.9,0.413,4.03517702600965e-57,"4","AC055839.2","Delta cells",1,0.037,0.0204146
"68",5.90220631758145e-93,1.30831822521548,0.507,0.042,1.55381483516649e-88,"4","PRG4","Chondrocytes",1,0.004,0.00156642
"69",6.17315012743704e-62,1.29356026619228,0.933,0.504,1.62514350254908e-57,"4","SEC11C","Delta cells",1,0.037,0.0204146
"70",3.35629907769097e-52,1.15396154177395,0.767,0.217,8.83579295192924e-48,"4","PCSK1","Alpha cells",NA,0.008,0.00885796
"71",1.2748191846167e-53,1.13794780068906,0.553,0.124,3.35608898542192e-49,"4","LEPR","Clara cells",1,0.005,0.00783945
"72",7.07421322457084e-37,1.13085644155744,0.7,0.293,1.86235737350052e-32,"4","DHRS2","Beta cells",1,0.001,0.000315457
"73",1.79220012502802e-26,1.0366304397471,0.633,0.286,4.71814604914877e-22,"4","PEG10","Delta cells",1,0.003,0
"74",5.09955757555682e-29,0.961625063396097,0.74,0.425,1.34250952734109e-24,"4","NLRP1","Delta cells",1,0.003,0
"75",4.27830344392643e-26,0.888448894469791,0.44,0.142,1.12630616464807e-21,"4","FFAR4","Delta cells",1,0.005,0.00408291
"76",9.05054767771371e-21,0.874534176199759,0.607,0.308,2.38264718163491e-16,"4","TPPP3","Satellite glial cells",1,0,0
"77",5.17338219866778e-38,0.860024887660383,0.547,0.156,1.36194459762128e-33,"4","CASR","Beta cells",1,0.001,0.000315457
"78",1.81005098245683e-23,0.827554729422969,0.713,0.414,4.76514021641586e-19,"4","MIR7-3HG","Olfactory epithelial cells",NA,0.036,0.0529449
"79",2.57689522935878e-33,0.814393709698152,0.46,0.123,6.78393438080994e-29,"4","BAIAP3","Delta cells",1,0.003,0
"80",5.56348789949381e-34,0.801584280240729,0.593,0.185,1.46464382442074e-29,"4","UNC5B","Delta cells",1,0.002,0
"81",1.65809225615224e-15,0.786232212256757,0.56,0.282,4.36509367354639e-11,"4","AQP3","Gamma (PP) cells",1,0.025,0.0697017
"82",3.66013705407099e-75,0.78126191844767,0.373,0.025,9.63567680854728e-71,"4","LY6H","Delta cells",1,0.027,0.0452261
"83",1.30522226072872e-25,0.767532199143031,0.753,0.399,3.43612812359444e-21,"4","PCP4","Neurons",1,0.083,0.018536
"84",6.47569848504877e-51,3.90976774176195,0.912,0.546,1.70479238317394e-46,"5","PPY","Gamma (PP) cells",1,0.019,0.0386185
"85",1.43029056553767e-38,1.96097048631309,0.726,0.277,3.76538294283448e-34,"5","AQP3","Gamma (PP) cells",1,0.025,0.0697017
"86",1.41656023345689e-13,1.04500713502075,0.575,0.298,3.7292364705986e-09,"5","PEG10","Gamma (PP) cells",1,0.025,0.0697017
"87",3.79092165983281e-89,4.48708543650545,1,0.284,9.97998036167586e-85,"6","REG1A","Acinar cells",1,0.005,0.0273585
"88",3.54246072734055e-72,4.329397580993,0.929,0.283,9.32588211079673e-68,"6","REG3A","Acinar cells",1,0.005,0.0106918
"89",7.57991356163038e-144,4.14613527014473,0.909,0.087,1.99548804423481e-139,"6","CTRB2","Acinar cells",1,0.001,0.00125786
"90",7.24217814516221e-134,3.95361424759478,0.939,0.107,1.9065758184954e-129,"6","PRSS2","Acinar cells",1,0.01,0.0103774
"91",4.58432667056624e-126,3.86324806392481,0.838,0.08,1.20686983929327e-121,"6","REG1B","Acinar cells",1,0.002,0.0110063
"92",2.36401452701534e-154,3.45405591453032,0.848,0.058,6.22350464382059e-150,"6","CTRB1","Acinar cells",1,0.017,0.000628931
"93",3.74484174240547e-129,3.30865255419662,0.889,0.094,9.85867037105664e-125,"6","OLFM4","Acinar cells",1,0.013,0.0132075
"94",1.20853867620282e-100,3.27445854992877,1,0.218,3.18159891897155e-96,"6","SPINK1","Acinar cells",1,0.029,0.0352201
"95",1.18574872098976e-129,3.16147931725832,0.838,0.077,3.12160208287763e-125,"6","PRSS1","Acinar cells",1,0.002,0.00597484
"96",9.97450142829211e-106,2.89213946401864,0.98,0.167,2.62588724601218e-101,"6","AL049839.2","Astrocytes",1,0.043,0.056811
"97",3.27105392691434e-171,2.8635701676894,0.717,0.026,8.6113765679947e-167,"6","CPA1","Acinar cells",1,0.006,0
"98",3.79536065118651e-243,2.86242291152762,0.899,0.024,9.99166645031359e-239,"6","ALDOB","Acinar cells",1,0.031,0.00408805
"99",5.64087812277526e-124,2.80807140288015,0.98,0.135,1.48501757460181e-119,"6","CFB","Acinar cells",1,0.001,0
"100",1.34441195758244e-210,2.80001606079947,0.717,0.013,3.53929891953154e-206,"6","ALB","Cholangiocytes",1,0.008,0.0282323
"101",4.55779154901054e-164,2.73416543070546,0.859,0.053,1.19988420319252e-159,"6","DUOXA2","Acinar cells",1,0,0
"102",2.66333656106949e-116,2.72157490734417,0.535,0.022,7.01149983067153e-112,"6","CELA3A","Acinar cells",1,0.001,0
"103",1.82057422036246e-108,2.69175185325,0.97,0.151,4.79284369252622e-104,"6","LCN2","Astrocytes",1,0.043,0.056811
"104",6.61905939315542e-96,2.61045603174275,0.788,0.097,1.7425335758421e-91,"6","LYZ","Acinar cells",1,0.008,0.0408805
"105",1.10542453159048e-110,2.46380655326826,0.98,0.164,2.9101406218651e-106,"6","MUC1","Acinar cells",1,0.016,0.0295597
"106",1.09505857272369e-102,2.45960050157219,0.98,0.179,2.88285119855238e-98,"6","SDC4","Cholangiocytes",1,0.056,0.0959256
"107",3.0891903258482e-111,4.58504914232382,0.99,0.18,8.13260245182797e-107,"7","COL1A1","Fibroblasts",1,0.081,0.0798442
"108",1.5861513385628e-238,4.06649825040443,0.99,0.04,4.17570201390044e-234,"7","COL3A1","Hepatic stellate cells",1,0.086,0.0987461
"109",1.20285288417372e-111,3.9471459693147,1,0.188,3.16663050287573e-107,"7","BGN","Hepatic stellate cells",1,0.097,0.0648903
"110",4.72221311535686e-175,3.44321422962535,0.969,0.072,1.24316982474885e-170,"7","FN1","Mesangial cells",1,0.091,0.0987461
"111",1.46403137933247e-133,3.24773938525455,0.856,0.08,3.85420900923065e-129,"7","COL6A3","Macrophages",1,0.027,0.0176101
"112",4.79543041976984e-116,3.19913851439008,0.99,0.168,1.26244501230861e-111,"7","COL6A1","Chondrocytes",NA,0.063,0.0902256
"113",8.96365986734535e-89,3.18671248453921,0.897,0.169,2.35977309667734e-84,"7","IGFBP5","Leydig cells",1,0.075,0.09279
"114",1.26980165585469e-140,3.13408960569003,1,0.122,3.34287983920305e-136,"7","COL18A1","Transient cells",NA,0.032,0.0153509
"115",5.40305565830096e-148,2.99469227919179,1,0.108,1.42240843260431e-143,"7","C11orf96","Merkel cells",1,0.006,0.000626566
"116",8.52232340203871e-213,2.96975911365111,0.948,0.044,2.24358685882071e-208,"7","CYGB","Hepatic stellate cells",NA,0.038,0.0219436
"117",0,2.88244280631861,0.99,0.01,0,"7","PDGFRB","Mesangial cells",1,0.033,0.0357367
"118",4.86464364979384e-180,2.87374814678031,1,0.076,1.28066608724473e-175,"7","IGFBP4","Mast cells",1,0.15,0.080402
"119",3.34190484223739e-124,2.75275019929045,0.969,0.13,8.79789868767416e-120,"7","SPON2","Gamma delta T cells",1,0.017,0.0372153
"120",7.03119816702356e-171,2.70772608140972,0.99,0.077,1.85103322945062e-166,"7","COL4A2","Müller cells",1,0.094,0.0811404
"121",0,2.52883462564444,0.928,0.009,0,"7","FMOD","Cardiomyocytes",1,0.009,0.00595238
"122",3.2623567165591e-252,2.52498042717764,0.742,0.006,8.58848029201349e-248,"7","SFRP2","Mesangial cells",NA,0.009,0.0238245
"123",5.89660885836041e-201,2.52432436992035,0.969,0.055,1.55234124805196e-196,"7","NOTCH3","Immature neurons",1,0.02,0.014411
"124",2.60821811585573e-304,2.44677578684037,0.907,0.009,6.86639501180178e-300,"7","COL15A1","Peritubular myoid cells",NA,0.016,0.0210258
"125",8.55131384083471e-269,2.3978662429131,0.928,0.02,2.25121888173815e-264,"7","COL5A1","Müller cells",1,0.028,0.0357143
"126",2.66834305459814e-188,2.3167523123352,0.959,0.056,7.02467992553505e-184,"7","PXDN","Embryonic stem cells",1,0.095,0.0322682
"127",1.49695276326268e-27,3.89525550028921,0.345,0.022,3.94087784456534e-23,"8","TPSB2","Mast cells",1,0.004,0.00471106
"128",3.39042217804984e-41,3.86024796150502,0.345,0.013,8.92562542593401e-37,"8","TPSAB1","Mast cells",1,0.002,0.00439698
"129",4.69039436918654e-29,3.64680519405461,0.655,0.088,1.23479322163205e-24,"8","ACP5","Monocytes",1,0.033,0.0183196
"130",1.56849160221086e-20,2.59027826743265,0.655,0.126,4.12921099198031e-16,"8","LYZ","Acinar cells",1,0.008,0.0408805
"131",4.07762600731842e-35,2.40004375543207,0.724,0.09,1.07347582268665e-30,"8","CD68","Macrophages",1,0.063,0
"132",1.7756116726957e-129,2.32368065292939,0.552,0.006,4.6744752895387e-125,"8","SDS","Kupffer cells",1,0.066,0.0169173
"133",5.64475736761295e-24,2.26583804431499,0.517,0.062,1.48603882459778e-19,"8","GPNMB","Alveolar macrophages",NA,0.013,0.0297619
"134",9.07746477521642e-213,2.24567780114225,0.793,0.006,2.38973337672347e-208,"8","RGS1","Macrophages",1,0.049,0.0638365
"135",1.59983660500425e-116,2.23485630490937,0.552,0.008,4.21172984633419e-112,"8","C1QB","Kupffer cells",1,0.071,0.0191103
"136",6.6201451502505e-20,2.22409381934784,0.621,0.118,1.74281941225495e-15,"8","CTSS","Dendritic cells",1,0.129,0.0968801
"137",1.21008332423129e-38,2.19492617434464,0.517,0.036,3.1856653593713e-34,"8","HMOX1","Red pulp macrophages",1,0.046,0.0363409
"138",1.5117394778464e-07,2.16936329724392,0.793,0.711,0.00397980534937844,"8","CTSB","Alveolar macrophages",NA,0.042,0.0344612
"139",4.17604711135466e-121,2.05780249485726,0.448,0.003,1.09938616253523e-116,"8","C1QA","Kupffer cells",1,0.07,0.0241228
"140",1.13837554484569e-36,1.99682880388231,0.31,0.012,2.99688745936077e-32,"8","GATA2","Hematopoietic stem cells",1,0.02,0.0134712
"141",1.37467897226606e-133,1.86785786592368,0.483,0.003,3.61897986238762e-129,"8","C1QC","Kupffer cells",1,0.066,0.0169173
"142",2.00012079842077e-115,1.85859806601832,0.414,0.003,5.26551801392253e-111,"8","VSIG4","Dendritic cells",1,0.005,0.00426929
"143",8.44466124490385e-28,1.75595674019196,0.517,0.051,2.22314151933339e-23,"8","TGFBI","Proximal tubule cells",1,0.065,0.0654967
"144",9.40365728338518e-111,1.73275363496701,0.31,0.001,2.47560681642398e-106,"8","CPA3","Mast cells",1,0.009,0.00596734
"145",1.23824225897546e-160,1.69855247718395,0.69,0.008,3.25979657097878e-156,"8","ALOX5AP","Platelets",1,0.09,0.0690088
"146",1.43011938100344e-06,1.69138917543146,1,0.981,0.0376493228242966,"8","FTH1","Platelets",1,0.025,0.00752823
"147",1.73340808587512e-238,4.23933180003488,1,0.008,4.56337012687485e-234,"9","PLVAP","Endothelial cells",1,0.026,0.00485751
"148",1.89696091148766e-61,3.09137282301619,1,0.074,4.99393929558241e-57,"9","ENG","Endothelial cells",1,0.058,0.0395078
"149",4.76305060583276e-136,3.00192520737929,0.955,0.022,1.25392070249153e-131,"9","PECAM1","Embryonic stem cells",1,0.051,0.0441729
"150",1.76055036364933e-93,2.89674585345373,1,0.043,4.63482488734322e-89,"9","FLT1","Endothelial cells",1,0.051,0.0262306
"151",9.79003841647553e-42,2.84311348318973,0.955,0.11,2.57732551352135e-37,"9","HSPG2","Endothelial cells",1,0.042,0
"152",2.63880326083252e-34,2.8005033688995,0.955,0.141,6.9469134644677e-30,"9","TP53I11","Adipocyte progenitor cells",1,0.009,0.00845865
"153",2.81759134977159e-30,2.77618439333211,1,0.189,7.41759098740868e-26,"9","MCAM","Endothelial cells",1,0.031,0.0126295
"154",7.0452703624156e-43,2.73688629924199,1,0.115,1.85473787560953e-38,"9","COL4A2","Müller cells",1,0.094,0.0811404
"155",1.40012776882493e-82,2.71535832126837,1,0.051,3.68597636420852e-78,"9","PLPP3","Mesangial cells",1,0.163,0.0924765
"156",3.46850416620178e-285,2.66294133641025,0.955,0.004,9.1311840679428e-281,"9","SOX18","Cardiomyocytes",1,0.012,0.0197368
"157",1.45532604348055e-49,2.64807499052512,1,0.098,3.83129134206689e-45,"9","ITGA5","Endothelial cells (aorta)",NA,0.016,0.0184837
"158",2.73072304327757e-242,2.61769740970827,0.955,0.007,7.18890148373253e-238,"9","ESM1","Adipocytes",1,0.006,0.0122449
"159",1.10938782611419e-97,2.56375624531021,1,0.04,2.92057439102822e-93,"9","PODXL","Embryonic stem cells",NA,0.04,0.0410401
"160",3.1519624983595e-302,2.55243502290446,1,0.004,8.29785647318123e-298,"9","VWF","Endothelial cells",1,0.016,0.00356218
"161",2.45446936027982e-131,2.49914660593503,0.909,0.02,6.46163603787266e-127,"9","PASK","Endothelial cells",1,0.008,0.000971503
"162",8.06428353285474e-245,2.47602175678473,1,0.008,2.12300328285934e-240,"9","CD93","Endothelial cells",1,0.044,0.00388601
"163",6.99524430850841e-109,2.45420907261415,0.864,0.023,1.84156801665793e-104,"9","STC1","Cardiomyocytes",1,0.005,0.0178571
"164",3.97703056648659e-85,2.4151567765383,0.955,0.043,1.04699306693326e-80,"9","FSCN1","Interneurons",NA,0.011,0
"165",6.75092085985461e-60,2.41345055001333,1,0.077,1.77724742556532e-55,"9","HTRA1","Astrocytes",1,0.065,0.0338983
"166",9.06418254361419e-49,2.40554242056807,1,0.094,2.38623669643187e-44,"9","PXDN","Alpha cells",1,0.019,0.0246757
